shipment_id,order_id,tracking_no,carrier_name,transport_mode,origin_hub,destination_city,destination_region,current_status,current_node_label,customs_status,current_node_detail,last_update_at,eta_start,eta_end,outbound_at,customs_released_at,delivered_at,abnormal_flag,abnormal_reason,tracking_summary
SHP-0001,ORD-2026-0001,TRK2026030001,OceanBridge,sea,新加坡港口集货仓,上海,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-02T09:35:00,2026-03-18T09:35:00,2026-03-27T09:35:00,2026-03-02T09:35:00,2026-03-15T09:35:00,2026-03-19 09:35:00,none,,TRK2026030001 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0002,ORD-2026-0002,TRK2026030002,OceanBridge,sea,新加坡港口集货仓,杭州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-04T03:35:00,2026-03-19T03:35:00,2026-03-28T03:35:00,2026-03-03T03:35:00,2026-03-16T03:35:00,2026-03-20 03:35:00,none,,TRK2026030002 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0003,ORD-2026-0003,TRK2026030003,OceanBridge,sea,新加坡港口集货仓,苏州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-05T21:35:00,2026-03-19T21:35:00,2026-03-28T21:35:00,2026-03-03T21:35:00,2026-03-16T21:35:00,2026-03-20 21:35:00,none,,TRK2026030003 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0004,ORD-2026-0004,TRK2026030004,OceanBridge,sea,新加坡港口集货仓,北京,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-03-07T15:35:00,2026-03-20T15:35:00,2026-03-29T15:35:00,2026-03-04T15:35:00,2026-03-17T15:35:00,,none,,TRK2026030004 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0005,ORD-2026-0005,TRK2026030005,OceanBridge,sea,新加坡港口集货仓,天津,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-03-09T09:35:00,2026-03-21T09:35:00,2026-03-30T09:35:00,2026-03-05T09:35:00,2026-03-18T09:35:00,,none,,TRK2026030005 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0006,ORD-2026-0006,TRK2026030006,OceanBridge,sea,新加坡港口集货仓,深圳,华南,customs_clearance,清关处理中,pending,等待清关放行，属于正常耗时节点,2026-03-11T03:35:00,2026-03-22T03:35:00,2026-03-31T03:35:00,2026-03-06T03:35:00,2026-03-19T03:35:00,,none,,TRK2026030006 当前处于 清关处理中，客服可引用运输说明卡稳定预期。
SHP-0007,ORD-2026-0007,TRK2026030007,OceanBridge,sea,新加坡/马来西亚港口集货仓,广州,华南,out_for_delivery,国内派送中,released,末端快递已派件,2026-03-12T21:35:00,2026-03-22T21:35:00,2026-03-31T21:35:00,2026-03-06T21:35:00,2026-03-19T21:35:00,,none,,TRK2026030007 当前处于 国内派送中，客服可引用运输说明卡稳定预期。
SHP-0008,ORD-2026-0008,TRK2026030008,OceanBridge,sea,新加坡/马来西亚港口集货仓,厦门,华南,label_created,等待干线出库,pending,订单已建单，等待仓库出库,2026-03-14T15:35:00,2026-03-23T15:35:00,2026-04-01T15:35:00,2026-03-07T15:35:00,2026-03-20T15:35:00,,none,,TRK2026030008 当前处于 等待干线出库，客服可引用运输说明卡稳定预期。
SHP-0009,ORD-2026-0009,TRK2026030009,OceanBridge,sea,新加坡/马来西亚港口集货仓,成都,西南,exception,物流异常待复核,pending,出现箱体破损或转运延迟，需要人工排查,2026-03-16T09:35:00,2026-03-24T09:35:00,2026-04-02T09:35:00,2026-03-08T09:35:00,2026-03-21T09:35:00,,delay,箱体压痕待核查,TRK2026030009 当前处于 物流异常待复核，客服可引用运输说明卡稳定预期。
SHP-0010,ORD-2026-0010,TRK2026030010,OceanBridge,sea,新加坡/马来西亚港口集货仓,重庆,西南,cancelled,订单已取消,pending,用户取消或支付失败后终止发运,2026-03-18T03:35:00,2026-03-25T03:35:00,2026-04-03T03:35:00,2026-03-09T03:35:00,2026-03-22T03:35:00,,cancel,,TRK2026030010 当前处于 订单已取消，客服可引用运输说明卡稳定预期。
SHP-0011,ORD-2026-0011,TRK2026030011,OceanBridge,sea,新加坡/马来西亚港口集货仓,上海,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-19T21:35:00,2026-03-25T21:35:00,2026-04-03T21:35:00,2026-03-09T21:35:00,2026-03-22T21:35:00,2026-03-26 21:35:00,none,,TRK2026030011 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0012,ORD-2026-0012,TRK2026030012,OceanBridge,sea,新加坡/马来西亚港口集货仓,杭州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-10T15:35:00,2026-03-26T15:35:00,2026-04-04T15:35:00,2026-03-10T15:35:00,2026-03-23T15:35:00,2026-03-27 15:35:00,none,,TRK2026030012 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0013,ORD-2026-0013,TRK2026030013,OceanBridge,sea,新加坡/马来西亚港口集货仓,苏州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-12T09:35:00,2026-03-27T09:35:00,2026-04-05T09:35:00,2026-03-11T09:35:00,2026-03-24T09:35:00,2026-03-28 09:35:00,none,,TRK2026030013 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0014,ORD-2026-0014,TRK2026030014,OceanBridge,sea,新加坡/马来西亚港口集货仓,北京,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-03-14T03:35:00,2026-03-28T03:35:00,2026-04-06T03:35:00,2026-03-12T03:35:00,2026-03-25T03:35:00,,none,,TRK2026030014 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0015,ORD-2026-0015,TRK2026030015,OceanBridge,sea,新加坡/马来西亚港口集货仓,天津,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-03-15T21:35:00,2026-03-28T21:35:00,2026-04-06T21:35:00,2026-03-12T21:35:00,2026-03-25T21:35:00,,none,,TRK2026030015 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0016,ORD-2026-0016,TRK2026030016,OceanBridge,sea,新加坡/马来西亚港口集货仓,深圳,华南,customs_clearance,清关处理中,pending,等待清关放行，属于正常耗时节点,2026-03-17T15:35:00,2026-03-29T15:35:00,2026-04-07T15:35:00,2026-03-13T15:35:00,2026-03-26T15:35:00,,none,,TRK2026030016 当前处于 清关处理中，客服可引用运输说明卡稳定预期。
SHP-0017,ORD-2026-0017,TRK2026030017,OceanBridge,sea,新加坡/马来西亚港口集货仓,广州,华南,out_for_delivery,国内派送中,released,末端快递已派件,2026-03-19T09:35:00,2026-03-30T09:35:00,2026-04-08T09:35:00,2026-03-14T09:35:00,2026-03-27T09:35:00,,none,,TRK2026030017 当前处于 国内派送中，客服可引用运输说明卡稳定预期。
SHP-0018,ORD-2026-0018,TRK2026030018,OceanBridge,sea,新加坡/马来西亚港口集货仓,厦门,华南,label_created,等待干线出库,pending,订单已建单，等待仓库出库,2026-03-21T03:35:00,2026-03-31T03:35:00,2026-04-09T03:35:00,2026-03-15T03:35:00,2026-03-28T03:35:00,,none,,TRK2026030018 当前处于 等待干线出库，客服可引用运输说明卡稳定预期。
SHP-0019,ORD-2026-0019,TRK2026030019,OceanBridge,sea,新加坡/马来西亚港口集货仓,成都,西南,exception,物流异常待复核,pending,出现箱体破损或转运延迟，需要人工排查,2026-03-22T21:35:00,2026-03-31T21:35:00,2026-04-09T21:35:00,2026-03-15T21:35:00,2026-03-28T21:35:00,,delay,箱体压痕待核查,TRK2026030019 当前处于 物流异常待复核，客服可引用运输说明卡稳定预期。
SHP-0020,ORD-2026-0020,TRK2026030020,OceanBridge,sea,新加坡/马来西亚港口集货仓,重庆,西南,cancelled,订单已取消,pending,用户取消或支付失败后终止发运,2026-03-24T15:35:00,2026-04-01T15:35:00,2026-04-10T15:35:00,2026-03-16T15:35:00,2026-03-29T15:35:00,,cancel,,TRK2026030020 当前处于 订单已取消，客服可引用运输说明卡稳定预期。
SHP-0021,ORD-2026-0021,TRK2026030021,OceanBridge,sea,新加坡/马来西亚港口集货仓,上海,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-26T09:35:00,2026-04-02T09:35:00,2026-04-11T09:35:00,2026-03-17T09:35:00,2026-03-30T09:35:00,2026-04-03 09:35:00,none,,TRK2026030021 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0022,ORD-2026-0022,TRK2026030022,OceanBridge,sea,新加坡/马来西亚港口集货仓,杭州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-28T03:35:00,2026-04-03T03:35:00,2026-04-12T03:35:00,2026-03-18T03:35:00,2026-03-31T03:35:00,2026-04-04 03:35:00,none,,TRK2026030022 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0023,ORD-2026-0023,TRK2026030023,OceanBridge,sea,新加坡/马来西亚港口集货仓,苏州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-18T21:35:00,2026-04-03T21:35:00,2026-04-12T21:35:00,2026-03-18T21:35:00,2026-03-31T21:35:00,2026-04-04 21:35:00,none,,TRK2026030023 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0024,ORD-2026-0024,TRK2026030024,OceanBridge,sea,新加坡/马来西亚港口集货仓,北京,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-03-20T15:35:00,2026-04-04T15:35:00,2026-04-13T15:35:00,2026-03-19T15:35:00,2026-04-01T15:35:00,,none,,TRK2026030024 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0025,ORD-2026-0025,TRK2026030025,OceanBridge,sea,新加坡/马来西亚港口集货仓,天津,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-03-22T09:35:00,2026-04-05T09:35:00,2026-04-14T09:35:00,2026-03-20T09:35:00,2026-04-02T09:35:00,,none,,TRK2026030025 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0026,ORD-2026-0026,TRK2026030026,OceanBridge,sea,新加坡/马来西亚港口集货仓,深圳,华南,customs_clearance,清关处理中,pending,等待清关放行，属于正常耗时节点,2026-03-24T03:35:00,2026-04-06T03:35:00,2026-04-15T03:35:00,2026-03-21T03:35:00,2026-04-03T03:35:00,,none,,TRK2026030026 当前处于 清关处理中，客服可引用运输说明卡稳定预期。
SHP-0027,ORD-2026-0027,TRK2026030027,OceanBridge,sea,新加坡/马来西亚港口集货仓,广州,华南,out_for_delivery,国内派送中,released,末端快递已派件,2026-03-25T21:35:00,2026-04-06T21:35:00,2026-04-15T21:35:00,2026-03-21T21:35:00,2026-04-03T21:35:00,,none,,TRK2026030027 当前处于 国内派送中，客服可引用运输说明卡稳定预期。
SHP-0028,ORD-2026-0028,TRK2026030028,OceanBridge,sea,新加坡/马来西亚港口集货仓,厦门,华南,label_created,等待干线出库,pending,订单已建单，等待仓库出库,2026-03-27T15:35:00,2026-04-07T15:35:00,2026-04-16T15:35:00,2026-03-22T15:35:00,2026-04-04T15:35:00,,none,,TRK2026030028 当前处于 等待干线出库，客服可引用运输说明卡稳定预期。
SHP-0029,ORD-2026-0029,TRK2026030029,OceanBridge,sea,新加坡/马来西亚港口集货仓,成都,西南,exception,物流异常待复核,pending,出现箱体破损或转运延迟，需要人工排查,2026-03-29T09:35:00,2026-04-08T09:35:00,2026-04-17T09:35:00,2026-03-23T09:35:00,2026-04-05T09:35:00,,delay,箱体压痕待核查,TRK2026030029 当前处于 物流异常待复核，客服可引用运输说明卡稳定预期。
SHP-0030,ORD-2026-0030,TRK2026030030,OceanBridge,sea,新加坡/马来西亚港口集货仓,重庆,西南,cancelled,订单已取消,pending,用户取消或支付失败后终止发运,2026-03-31T03:35:00,2026-04-09T03:35:00,2026-04-18T03:35:00,2026-03-24T03:35:00,2026-04-06T03:35:00,,cancel,,TRK2026030030 当前处于 订单已取消，客服可引用运输说明卡稳定预期。
SHP-0031,ORD-2026-0031,TRK2026030031,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,上海,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-30T21:35:00,2026-03-28T21:35:00,2026-03-31T21:35:00,2026-03-24T21:35:00,2026-03-25T21:35:00,2026-03-29 21:35:00,none,,TRK2026030031 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0032,ORD-2026-0032,TRK2026030032,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,杭州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-03-31T15:35:00,2026-03-29T15:35:00,2026-04-01T15:35:00,2026-03-25T15:35:00,2026-03-26T15:35:00,2026-03-30 15:35:00,none,,TRK2026030032 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0033,ORD-2026-0033,TRK2026030033,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,苏州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-04-01T09:35:00,2026-03-30T09:35:00,2026-04-02T09:35:00,2026-03-26T09:35:00,2026-03-27T09:35:00,2026-03-31 09:35:00,none,,TRK2026030033 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0034,ORD-2026-0034,TRK2026030034,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,北京,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-03-27T03:35:00,2026-03-31T03:35:00,2026-04-03T03:35:00,2026-03-27T03:35:00,2026-03-28T03:35:00,,none,,TRK2026030034 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0035,ORD-2026-0035,TRK2026030035,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,天津,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-03-28T21:35:00,2026-03-31T21:35:00,2026-04-03T21:35:00,2026-03-27T21:35:00,2026-03-28T21:35:00,,none,,TRK2026030035 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0036,ORD-2026-0036,TRK2026030036,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,深圳,华南,customs_clearance,清关处理中,pending,等待清关放行，属于正常耗时节点,2026-03-30T15:35:00,2026-04-01T15:35:00,2026-04-04T15:35:00,2026-03-28T15:35:00,2026-03-29T15:35:00,,none,,TRK2026030036 当前处于 清关处理中，客服可引用运输说明卡稳定预期。
SHP-0037,ORD-2026-0037,TRK2026030037,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,广州,华南,out_for_delivery,国内派送中,released,末端快递已派件,2026-04-01T09:35:00,2026-04-02T09:35:00,2026-04-05T09:35:00,2026-03-29T09:35:00,2026-03-30T09:35:00,,none,,TRK2026030037 当前处于 国内派送中，客服可引用运输说明卡稳定预期。
SHP-0038,ORD-2026-0038,TRK2026030038,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,厦门,华南,label_created,等待干线出库,pending,订单已建单，等待仓库出库,2026-04-03T03:35:00,2026-04-03T03:35:00,2026-04-06T03:35:00,2026-03-30T03:35:00,2026-03-31T03:35:00,,none,,TRK2026030038 当前处于 等待干线出库，客服可引用运输说明卡稳定预期。
SHP-0039,ORD-2026-0039,TRK2026030039,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,成都,西南,exception,物流异常待复核,pending,出现箱体破损或转运延迟，需要人工排查,2026-04-04T21:35:00,2026-04-03T21:35:00,2026-04-06T21:35:00,2026-03-30T21:35:00,2026-03-31T21:35:00,,delay,箱体压痕待核查,TRK2026030039 当前处于 物流异常待复核，客服可引用运输说明卡稳定预期。
SHP-0040,ORD-2026-0040,TRK2026030040,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,重庆,西南,cancelled,订单已取消,pending,用户取消或支付失败后终止发运,2026-04-06T15:35:00,2026-04-04T15:35:00,2026-04-07T15:35:00,2026-03-31T15:35:00,2026-04-01T15:35:00,,cancel,,TRK2026030040 当前处于 订单已取消，客服可引用运输说明卡稳定预期。
SHP-0041,ORD-2026-0041,TRK2026030041,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,上海,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-04-07T09:35:00,2026-04-05T09:35:00,2026-04-08T09:35:00,2026-04-01T09:35:00,2026-04-02T09:35:00,2026-04-06 09:35:00,none,,TRK2026030041 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0042,ORD-2026-0042,TRK2026030042,AeroLink,bonded_warehouse_prestocked,宁波/郑州保税仓（前置）,杭州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-04-08T03:35:00,2026-04-06T03:35:00,2026-04-09T03:35:00,2026-04-02T03:35:00,2026-04-03T03:35:00,2026-04-07 03:35:00,none,,TRK2026030042 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0043,ORD-2026-0043,TRK2026030043,OceanBridge,sea,新加坡港口集货仓,苏州,华东,delivered,末端签收完成,released,签收成功，建议引导确认是否存在外观/功能问题,2026-04-11T21:35:00,2026-04-18T21:35:00,2026-04-27T21:35:00,2026-04-02T21:35:00,2026-04-15T21:35:00,2026-04-19 21:35:00,none,,TRK2026030043 当前处于 末端签收完成，客服可引用运输说明卡稳定预期。
SHP-0044,ORD-2026-0044,TRK2026030044,OceanBridge,sea,新加坡港口集货仓,北京,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-04-13T15:35:00,2026-04-19T15:35:00,2026-04-28T15:35:00,2026-04-03T15:35:00,2026-04-16T15:35:00,,none,,TRK2026030044 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0045,ORD-2026-0045,TRK2026030045,OceanBridge,sea,新加坡港口集货仓,天津,华北,in_transit,干线运输中,released,跨境运输途中，暂无异常,2026-04-04T09:35:00,2026-04-20T09:35:00,2026-04-29T09:35:00,2026-04-04T09:35:00,2026-04-17T09:35:00,,none,,TRK2026030045 当前处于 干线运输中，客服可引用运输说明卡稳定预期。
SHP-0046,ORD-2026-0046,TRK2026030046,OceanBridge,sea,新加坡港口集货仓,深圳,华南,customs_clearance,清关处理中,pending,等待清关放行，属于正常耗时节点,2026-04-06T03:35:00,2026-04-21T03:35:00,2026-04-30T03:35:00,2026-04-05T03:35:00,2026-04-18T03:35:00,,none,,TRK2026030046 当前处于 清关处理中，客服可引用运输说明卡稳定预期。
SHP-0047,ORD-2026-0047,TRK2026030047,OceanBridge,sea,新加坡港口集货仓,广州,华南,out_for_delivery,国内派送中,released,末端快递已派件,2026-04-07T21:35:00,2026-04-21T21:35:00,2026-04-30T21:35:00,2026-04-05T21:35:00,2026-04-18T21:35:00,,none,,TRK2026030047 当前处于 国内派送中，客服可引用运输说明卡稳定预期。
SHP-0048,ORD-2026-0048,TRK2026030048,OceanBridge,sea,新加坡港口集货仓,厦门,华南,label_created,等待干线出库,pending,订单已建单，等待仓库出库,2026-04-09T15:35:00,2026-04-22T15:35:00,2026-05-01T15:35:00,2026-04-06T15:35:00,2026-04-19T15:35:00,,none,,TRK2026030048 当前处于 等待干线出库，客服可引用运输说明卡稳定预期。
SHP-0049,ORD-2026-0049,TRK2026030049,OceanBridge,sea,新加坡/马来西亚港口集货仓,成都,西南,exception,物流异常待复核,pending,出现箱体破损或转运延迟，需要人工排查,2026-04-11T09:35:00,2026-04-23T09:35:00,2026-05-02T09:35:00,2026-04-07T09:35:00,2026-04-20T09:35:00,,delay,箱体压痕待核查,TRK2026030049 当前处于 物流异常待复核，客服可引用运输说明卡稳定预期。
