sku_id,brand_id,品牌,category_id,类目,型号,商品名,子类,品牌来源地,目标区域版,额定电压,额定频率,插头类型,功率W,认证标识,尺寸,安装/使用要求,风险级别,保修模式,保修备注,高频客服需求,高风险知识,必须RAG,china_usability,china_voltage_note,china_plug_adapter,warranty_type,warranty_duration_days,return_policy_type,import_channel,sales_rule_return,sales_rule_return_window_days,importer_name
SKU-DELO-Bean-US,BR01,De'Longhi,CAT01,全自动/半自动咖啡机,DELO-Bean-US-2027,全自动意式咖啡机,bean_to_cup,意大利,US,120V,60Hz,Type B,1450,UL/ETL,24x44x36cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y,need_transformer_and_adapter,120V 进口版；中国家用电压 220V/50Hz。需配 220V→120V 降压变压器（建议 2900W 以上）,Type B → GB 2099 转接头,importer_with_brand_support,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,德龙中国区代理（合成）
SKU-DELO-Steam-EU,BR01,De'Longhi,CAT01,全自动/半自动咖啡机,DELO-Steam-EU-2028,半自动奶泡咖啡机,semi_auto,意大利,EU,220-240V,50Hz,Type F,1350,CE,28x41x48cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y,need_adapter,电压 220V 与中国家用标准一致,Type F → GB 2099 三极转接头（10A 及以上认证即可满足小电器）,importer_with_brand_support,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,德龙中国区代理（合成）
SKU-DELO-Caps-UK,BR01,De'Longhi,CAT01,全自动/半自动咖啡机,DELO-Caps-UK-2029,胶囊咖啡机,capsule,意大利,UK,220-240V,50Hz,Type G,1260,UKCA/CE,12x28x34cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y,need_adapter,电压 220V 与中国家用标准一致,Type G → GB 2099 三极转接头（10A 及以上认证即可满足小电器）,importer_with_brand_support,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,德龙中国区代理（合成）
SKU-JURA-Bean-US,BR02,Jura,CAT01,全自动/半自动咖啡机,JURA-Bean-US-2027,全自动意式咖啡机,bean_to_cup,瑞士,US,120V,60Hz,Type B,1450,UL/ETL,24x44x36cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y,need_transformer_and_adapter,120V 进口版；中国家用电压 220V/50Hz。需配 220V→120V 降压变压器（建议 2900W 以上）,Type B → GB 2099 转接头,importer_only,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,优瑞（上海）贸易（合成）
SKU-JURA-Steam-EU,BR02,Jura,CAT01,全自动/半自动咖啡机,JURA-Steam-EU-2028,半自动奶泡咖啡机,semi_auto,瑞士,EU,220-240V,50Hz,Type F,1350,CE,28x41x48cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y,need_adapter,电压 220V 与中国家用标准一致,Type F → GB 2099 三极转接头（10A 及以上认证即可满足小电器）,importer_only,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,优瑞（上海）贸易（合成）
SKU-JURA-Caps-UK,BR02,Jura,CAT01,全自动/半自动咖啡机,JURA-Caps-UK-2029,胶囊咖啡机,capsule,瑞士,UK,220-240V,50Hz,Type G,1260,UKCA/CE,12x28x34cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；除垢维护；奶泡/水路故障；缺件漏件；降价争议,Y,Y,need_adapter,电压 220V 与中国家用标准一致,Type G → GB 2099 三极转接头（10A 及以上认证即可满足小电器）,importer_only,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,优瑞（上海）贸易（合成）
SKU-SMEG-Air-US,BR03,Smeg,CAT02,台式烤箱/空气炸烤箱,SMEG-Air-US-2027,空气炸烤箱,airfryer_oven,意大利,US,120V,60Hz,Type B,1800,UL/ETL,46x38x41cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y,not_recommended,120V 进口版，功率 1800W；家用 220→120V 变压器最大约 2000-3000W 仍留余量不足，长期使用存在发热/烧毁风险,不建议,importer_with_brand_support,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,SMEG 中国总代（合成）
SKU-SMEG-Steam-EU,BR03,Smeg,CAT02,台式烤箱/空气炸烤箱,SMEG-Steam-EU-2028,台式蒸烤一体机,steam_oven,意大利,EU,220-240V,50Hz,Type F,1750,CE,50x43x46cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_with_brand_support,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,SMEG 中国总代（合成）
SKU-SMEG-Toast-UK,BR03,Smeg,CAT02,台式烤箱/空气炸烤箱,SMEG-Toast-UK-2029,多功能烤面包烤箱,toaster_oven,意大利,UK,220-240V,50Hz,Type G,1600,UKCA/CE,40x33x29cm,台面摆放，需核对电压/频率/插头与散热距离,中,same_region_only,购买地与使用地一致才默认适用,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type G → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_with_brand_support,365,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,SMEG 中国总代（合成）
SKU-BREV-Air-US,BR04,Breville,CAT02,台式烤箱/空气炸烤箱,BREV-Air-US-2027,空气炸烤箱,airfryer_oven,澳大利亚,US,120V,60Hz,Type B,1800,UL/ETL,46x38x41cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y,not_recommended,120V 进口版，功率 1800W；家用 220→120V 变压器最大约 2000-3000W 仍留余量不足，长期使用存在发热/烧毁风险,不建议,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,铂富亚太（合成）
SKU-BREV-Steam-UK,BR04,Breville,CAT02,台式烤箱/空气炸烤箱,BREV-Steam-UK-2028,台式蒸烤一体机,steam_oven,澳大利亚,UK,220-240V,50Hz,Type G,1750,UKCA/CE,50x43x46cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type G → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,铂富亚太（合成）
SKU-BREV-Toast-AU,BR04,Breville,CAT02,台式烤箱/空气炸烤箱,BREV-Toast-AU-2029,多功能烤面包烤箱,toaster_oven,澳大利亚,AU,220-240V,50Hz,Type I,1600,RCM,40x33x29cm,台面摆放，需核对电压/频率/插头与散热距离,中,regional_only,同大区适用，跨大区需人工复核,兼容性；台面散热空间；发热/异味投诉；门体磕碰；降价争议,Y,Y,direct,电压 220V 与中国家用标准一致，可直接使用,无需转接头（Type I 与中国 GB 2099 物理兼容）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,铂富亚太（合成）
SKU-BOSC-DW60-US,BR05,Bosch,CAT03,洗碗机,BOSC-DW60-US-2027,60cm嵌入式洗碗机,dishwasher_60,德国,US,120V,60Hz,Type B,1800,UL/ETL,59.8x81.5x55cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y,not_recommended,120V 进口版，功率 1800W；家用 220→120V 变压器最大约 2000-3000W 仍留余量不足，长期使用存在发热/烧毁风险,不建议,brand_global,730,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,博世家电中国（合成）
SKU-BOSC-DW45-EU,BR05,Bosch,CAT03,洗碗机,BOSC-DW45-EU-2028,45cm窄体洗碗机,dishwasher_45,德国,EU,220-240V,50Hz,Type F,1500,CE,44.8x81.5x55cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,brand_global,730,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,博世家电中国（合成）
SKU-BOSC-DFS-UK,BR05,Bosch,CAT03,洗碗机,BOSC-DFS-UK-2029,独立式洗碗机,dishwasher_free,德国,UK,220-240V,50Hz,Type G,1800,UKCA/CE,60x85x60cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type G → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,brand_global,730,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,博世家电中国（合成）
SKU-MIEL-DW60-US,BR06,Miele,CAT03,洗碗机,MIEL-DW60-US-2027,60cm嵌入式洗碗机,dishwasher_60,德国,US,120V,60Hz,Type B,1800,UL/ETL,59.8x81.5x55cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y,not_recommended,120V 进口版，功率 1800W；家用 220→120V 变压器最大约 2000-3000W 仍留余量不足，长期使用存在发热/烧毁风险,不建议,brand_global,730,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,美诺中国（合成）
SKU-MIEL-DW45-EU,BR06,Miele,CAT03,洗碗机,MIEL-DW45-EU-2028,45cm窄体洗碗机,dishwasher_45,德国,EU,220-240V,50Hz,Type F,1500,CE,44.8x81.5x55cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,brand_global,730,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,美诺中国（合成）
SKU-MIEL-DFS-UK,BR06,Miele,CAT03,洗碗机,MIEL-DFS-UK-2029,独立式洗碗机,dishwasher_free,德国,UK,220-240V,50Hz,Type G,1800,UKCA/CE,60x85x60cm,需预留进水/排水/电源与安装位,高,regional_only,同大区适用，跨大区需人工复核,安装条件；进排水；签收破损；故障码；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type G → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,brand_global,730,quality_only,official_distributor,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,美诺中国（合成）
SKU-LIEB-BFR-EU,BR07,Liebherr,CAT04,冰箱/酒柜,LIEB-BFR-EU-2027,下冷冻冰箱,bottom_freezer_fridge,德国,EU,220-240V,50Hz,Type F,180,CE,70x185x72cm,需预留散热空间，运输后静置再开机,高,same_region_only,购买地与使用地一致才默认适用,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,利勃海尔中国代理（合成）
SKU-LIEB-FDR-UK,BR07,Liebherr,CAT04,冰箱/酒柜,LIEB-FDR-UK-2028,法式多门冰箱,french_door_fridge,德国,UK,220-240V,50Hz,Type G,250,UKCA/CE,90x178x75cm,需预留散热空间，运输后静置再开机,高,same_region_only,购买地与使用地一致才默认适用,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type G → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,利勃海尔中国代理（合成）
SKU-LIEB-WCN-EU,BR07,Liebherr,CAT04,冰箱/酒柜,LIEB-WCN-EU-2029,恒温酒柜,wine_cooler,德国,EU,220-240V,50Hz,Type F,120,CE,60x82x58cm,需预留散热空间，运输后静置再开机,高,same_region_only,购买地与使用地一致才默认适用,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,利勃海尔中国代理（合成）
SKU-FISH-BFR-US,BR08,Fisher & Paykel,CAT04,冰箱/酒柜,FISH-BFR-US-2027,下冷冻冰箱,bottom_freezer_fridge,新西兰,US,120V,60Hz,Type B,180,UL/ETL,70x185x72cm,需预留散热空间，运输后静置再开机,高,regional_only,同大区适用，跨大区需人工复核,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y,not_recommended,120V 进口版；该类家电属于长时段/嵌入式场景，配变压器运行不经济也不安全，中国市场不建议使用,不建议,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,斐雪派克亚太（合成）
SKU-FISH-FDR-UK,BR08,Fisher & Paykel,CAT04,冰箱/酒柜,FISH-FDR-UK-2028,法式多门冰箱,french_door_fridge,新西兰,UK,220-240V,50Hz,Type G,250,UKCA/CE,90x178x75cm,需预留散热空间，运输后静置再开机,高,regional_only,同大区适用，跨大区需人工复核,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type G → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,斐雪派克亚太（合成）
SKU-FISH-WCN-AU,BR08,Fisher & Paykel,CAT04,冰箱/酒柜,FISH-WCN-AU-2029,恒温酒柜,wine_cooler,新西兰,AU,220-240V,50Hz,Type I,120,RCM,60x82x58cm,需预留散热空间，运输后静置再开机,高,regional_only,同大区适用，跨大区需人工复核,搬运静置；门体损伤；散热距离；保修地域；降价争议,Y,Y,direct,电压 220V 与中国家用标准一致，可直接使用,无需转接头（Type I 与中国 GB 2099 物理兼容）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,斐雪派克亚太（合成）
SKU-AEG-WFL-EU,BR09,AEG,CAT05,洗衣机/烘干机,AEG-WFL-EU-2027,前开门洗衣机,front_loader,德国品牌,EU,220-240V,50Hz,Type F,2000,CE,60x85x60cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,AEG 东南亚转口（合成）
SKU-AEG-HPD-UK,BR09,AEG,CAT05,洗衣机/烘干机,AEG-HPD-UK-2028,热泵烘干机,heat_pump_dryer,德国品牌,UK,220-240V,50Hz,Type G,850,UKCA/CE,60x85x66cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type G → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,AEG 东南亚转口（合成）
SKU-AEG-WDC-EU,BR09,AEG,CAT05,洗衣机/烘干机,AEG-WDC-EU-2029,洗烘一体机,washer_dryer_combo,德国品牌,EU,220-240V,50Hz,Type F,2200,CE,60x85x64cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,AEG 东南亚转口（合成）
SKU-ELEC-WFL-US,BR10,Electrolux,CAT05,洗衣机/烘干机,ELEC-WFL-US-2027,前开门洗衣机,front_loader,瑞典,US,120V,60Hz,Type B,2000,UL/ETL,60x85x60cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,not_recommended,120V 进口版，功率 2000W；家用 220→120V 变压器最大约 2000-3000W 仍留余量不足，长期使用存在发热/烧毁风险,不建议,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,伊莱克斯东南亚（合成）
SKU-ELEC-HPD-EU,BR10,Electrolux,CAT05,洗衣机/烘干机,ELEC-HPD-EU-2028,热泵烘干机,heat_pump_dryer,瑞典,EU,220-240V,50Hz,Type F,850,CE,60x85x66cm,需预留进排水/排风/电源，拆除运输螺栓,极高,regional_only,同大区适用，跨大区需人工复核,安装条件；运输螺栓；进排水/排风；签收破损；保修地域,Y,Y,need_adapter,电压 220V 匹配；插头需专业改装（嵌入式/大功率家电不建议长期依赖转接头）,Type F → GB 2099 三极转接头（16A 以上认证；高功率机型建议切掉原插头做专业改线）,importer_only,365,quality_only,parallel_import,本商品为跨境进口商品，不支持七天无理由退换，仅在出现质量问题时支持退换货；请在签收后 15 天内完成质量申报,15,伊莱克斯东南亚（合成）
